goos: linux
goarch: amd64
pkg: github.com/victorzhuk/go-lispico/internal/goldset
cpu: AMD EPYC 7763 64-Core Processor                
,internal/perfgate/testdata/profile-30637802780/bench-evaluator.txt,,internal/perfgate/testdata/profile-30637802780/bench-vm.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
Goldset/counter-closure-2,1.2295500000000001e-05,2%,8.507e-06,1%,-30.81%,p=0.000 n=10
Goldset/guard-nil-2,5.2265e-06,0%,5.2055e-06,1%,~,p=0.055 n=10
Goldset/kw-lookup-2,6.2435000000000004e-06,0%,4.8945e-06,1%,-21.61%,p=0.000 n=10
Goldset/loop-sum-2,0.0002251765,1%,1.4973500000000002e-05,1%,-93.35%,p=0.000 n=10
Goldset/merge-config-2,1.19875e-05,1%,9.493e-06,1%,-20.81%,p=0.000 n=10
Goldset/pipeline-2,3.1554e-05,1%,1.73435e-05,1%,-45.04%,p=0.000 n=10
Goldset/queue-promote-2,0.00011592850000000001,1%,3.8350500000000005e-05,1%,-66.92%,p=0.000 n=10
Goldset/registry-fold-2,1.7546e-05,1%,1.2003e-05,0%,-31.59%,p=0.000 n=10
Goldset/route-decision-2,9.863500000000001e-06,0%,6.985500000000001e-06,1%,-29.18%,p=0.000 n=10
Goldset/rule-load-2,2.35755e-05,1%,2.22985e-05,1%,-5.42%,p=0.000 n=10
Goldset/safe-parse-2,1.6174500000000002e-05,1%,9.268e-06,7%,-42.70%,p=0.000 n=10
Goldset/text-render-2,7.6345e-06,1%,5.558500000000001e-06,1%,-27.19%,p=0.000 n=10
Goldset/twice-macro-2,8.9615e-06,1%,7.0195e-06,0%,-21.67%,p=0.000 n=10
GoldsetCall/call-boundary-2,9.747499999999999e-07,1%,1.8850000000000003e-07,1%,-80.66%,p=0.000 n=10
GoldsetParse/counter-closure-2,5.2595e-06,0%,5.279500000000001e-06,1%,~,p=0.436 n=10
GoldsetParse/guard-nil-2,3.146e-06,3%,3.1440000000000003e-06,0%,~,p=0.592 n=10
GoldsetParse/kw-lookup-2,2.933e-06,6%,2.9520000000000003e-06,2%,~,p=0.148 n=10
GoldsetParse/loop-sum-2,3.1780000000000003e-06,1%,3.182e-06,1%,~,p=0.739 n=10
GoldsetParse/merge-config-2,5.522000000000001e-06,1%,5.557500000000001e-06,1%,~,p=0.644 n=10
GoldsetParse/pipeline-2,5.068500000000001e-06,0%,5.082e-06,1%,~,p=0.118 n=10
GoldsetParse/queue-promote-2,4.9340000000000005e-06,1%,4.946500000000001e-06,1%,~,p=0.239 n=10
GoldsetParse/registry-fold-2,6.352e-06,0%,6.352500000000001e-06,3%,~,p=0.955 n=10
GoldsetParse/route-decision-2,4.816000000000001e-06,1%,4.8235000000000005e-06,1%,~,p=0.592 n=10
GoldsetParse/rule-load-2,1.52245e-05,0%,1.522e-05,1%,~,p=0.928 n=10
GoldsetParse/safe-parse-2,6.603e-06,1%,6.577000000000001e-06,1%,~,p=0.225 n=10
GoldsetParse/text-render-2,3.214e-06,1%,3.2060000000000003e-06,1%,~,p=0.306 n=10
GoldsetParse/twice-macro-2,4.1485e-06,1%,4.151e-06,0%,~,p=0.896 n=10
geomean,8.564240805398277e-06,,6.1848436730086185e-06,,-27.78%,

,internal/perfgate/testdata/profile-30637802780/bench-evaluator.txt,,internal/perfgate/testdata/profile-30637802780/bench-vm.txt,,,
,B/op,CI,B/op,CI,vs base,P
Goldset/counter-closure-2,3657,0%,1970,0%,-46.13%,p=0.000 n=10
Goldset/guard-nil-2,1128,0%,1129,0%,+0.09%,p=0.000 n=10
Goldset/kw-lookup-2,1544,0%,1209,0%,-21.70%,p=0.000 n=10
Goldset/loop-sum-2,17413,0%,1554,0%,-91.08%,p=0.000 n=10
Goldset/merge-config-2,3720,0%,2731.5,0%,-26.57%,p=0.000 n=10
Goldset/pipeline-2,11003,0%,2750,0%,-75.01%,p=0.000 n=10
Goldset/queue-promote-2,23918.5,0%,16588.5,0%,-30.65%,p=0.000 n=10
Goldset/registry-fold-2,6009,0%,2941,0%,-51.06%,p=0.000 n=10
Goldset/route-decision-2,2904,0%,1626,0%,-44.01%,p=0.000 n=10
Goldset/rule-load-2,9162.5,0%,5843.5,0%,-36.22%,p=0.000 n=10
Goldset/safe-parse-2,5425,0%,2395,0%,-55.85%,p=0.000 n=10
Goldset/text-render-2,2432,0%,1393,0%,-42.72%,p=0.000 n=10
Goldset/twice-macro-2,2392,0%,1658,0%,-30.69%,p=0.000 n=10
GoldsetCall/call-boundary-2,768,0%,0,0%,-100.00%,p=0.000 n=10
GoldsetParse/counter-closure-2,1584,0%,1584,0%,~,p=1.000 n=10
GoldsetParse/guard-nil-2,768,0%,768,0%,~,p=1.000 n=10
GoldsetParse/kw-lookup-2,800,0%,800,0%,~,p=1.000 n=10
GoldsetParse/loop-sum-2,848,0%,848,0%,~,p=1.000 n=10
GoldsetParse/merge-config-2,1872,0%,1872,0%,~,p=1.000 n=10
GoldsetParse/pipeline-2,1280,0%,1280,0%,~,p=1.000 n=10
GoldsetParse/queue-promote-2,1264,0%,1264,0%,~,p=1.000 n=10
GoldsetParse/registry-fold-2,1904,0%,1904,0%,~,p=1.000 n=10
GoldsetParse/route-decision-2,1280,0%,1280,0%,~,p=1.000 n=10
GoldsetParse/rule-load-2,4896,0%,4896,0%,~,p=1.000 n=10
GoldsetParse/safe-parse-2,1792,0%,1792,0%,~,p=1.000 n=10
GoldsetParse/text-render-2,992,0%,992,0%,~,p=1.000 n=10
GoldsetParse/twice-macro-2,1168,0%,1168,0%,~,p=1.000 n=10
geomean,2430.9426855858455,,,,?,

,internal/perfgate/testdata/profile-30637802780/bench-evaluator.txt,,internal/perfgate/testdata/profile-30637802780/bench-vm.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P
Goldset/counter-closure-2,71,0%,58,0%,-18.31%,p=0.000 n=10
Goldset/guard-nil-2,32,0%,32,0%,~,p=1.000 n=10
Goldset/kw-lookup-2,39,0%,32,0%,-17.95%,p=0.000 n=10
Goldset/loop-sum-2,594,0%,87,0%,-85.35%,p=0.000 n=10
Goldset/merge-config-2,73,0%,60,0%,-17.81%,p=0.000 n=10
Goldset/pipeline-2,152,0%,73,0%,-51.97%,p=0.000 n=10
Goldset/queue-promote-2,387,0%,174,0%,-55.04%,p=0.000 n=10
Goldset/registry-fold-2,113,0%,74,0%,-34.51%,p=0.000 n=10
Goldset/route-decision-2,71,0%,49,0%,-30.99%,p=0.000 n=10
Goldset/rule-load-2,216,0%,166,0%,-23.15%,p=0.000 n=10
Goldset/safe-parse-2,104,0%,72,0%,-30.77%,p=0.000 n=10
Goldset/text-render-2,57,0%,43,0%,-24.56%,p=0.000 n=10
Goldset/twice-macro-2,59,0%,48,0%,-18.64%,p=0.000 n=10
GoldsetCall/call-boundary-2,6,0%,0,0%,-100.00%,p=0.000 n=10
GoldsetParse/counter-closure-2,50,0%,50,0%,~,p=1.000 n=10
GoldsetParse/guard-nil-2,26,0%,26,0%,~,p=1.000 n=10
