goos: linux
goarch: amd64
pkg: github.com/victorzhuk/go-lispico/internal/goldset
cpu: AMD EPYC 7763 64-Core Processor                
,internal/perfgate/testdata/profile-30630796967/bench-evaluator.txt,,internal/perfgate/testdata/profile-30630796967/bench-vm.txt,,,
Goldset/safe-parse-2,104,0%,72,0%,-30.77%,p=0.000 n=10
Goldset/text-render-2,57,0%,43,0%,-24.56%,p=0.000 n=10
Goldset/twice-macro-2,59,0%,48,0%,-18.64%,p=0.000 n=10
GoldsetParse/counter-closure-2,50,0%,50,0%,~,p=1.000 n=10
GoldsetParse/guard-nil-2,26,0%,26,0%,~,p=1.000 n=10
GoldsetParse/kw-lookup-2,24,0%,24,0%,~,p=1.000 n=10
GoldsetParse/loop-sum-2,28,0%,28,0%,~,p=1.000 n=10
GoldsetParse/merge-config-2,50,0%,50,0%,~,p=1.000 n=10
GoldsetParse/pipeline-2,37,0%,37,0%,~,p=1.000 n=10
GoldsetParse/queue-promote-2,40,0%,40,0%,~,p=1.000 n=10
GoldsetParse/registry-fold-2,53,0%,53,0%,~,p=1.000 n=10
GoldsetParse/route-decision-2,42,0%,42,0%,~,p=1.000 n=10
GoldsetParse/rule-load-2,148,0%,148,0%,~,p=1.000 n=10
GoldsetParse/safe-parse-2,61,0%,61,0%,~,p=1.000 n=10
GoldsetParse/text-render-2,32,0%,32,0%,~,p=1.000 n=10
GoldsetParse/twice-macro-2,41,0%,41,0%,~,p=1.000 n=10
geomean,66.35245813409162,,52.75308084588076,,-20.50%,
